molecule_id,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_6448,-4.782,-2.591,2.191,0.044,-43887.232,-43881.415,-43888.819,-1.587,5.817
hc_c42h24_0pent_3007,-5.386,-1.910,3.476,0.077,-43888.607,-43882.265,-43889.596,-0.989,6.342
hc_c42h24_0pent_4096,-5.322,-1.941,3.381,0.173,-43887.738,-43881.411,-43888.709,-0.971,6.326
hc_c42h24_0pent_1897,-5.356,-1.901,3.455,0.088,-43888.093,-43881.738,-43889.027,-0.933,6.355
hc_c42h24_0pent_3894,-5.385,-1.918,3.467,0.101,-43888.015,-43881.635,-43888.970,-0.955,6.380
hc_c42h24_0pent_5290,-5.241,-2.090,3.151,0.162,-43887.956,-43881.711,-43889.052,-1.095,6.245
hc_c42h24_0pent_5727,-4.993,-2.331,2.662,0.062,-43887.555,-43881.508,-43888.856,-1.301,6.048
hc_c42h24_0pent_6267,-4.827,-2.553,2.275,0.038,-43887.840,-43881.953,-43889.353,-1.513,5.887
hc_c42h24_0pent_2091,-5.365,-1.948,3.418,0.083,-43888.623,-43882.277,-43889.621,-0.998,6.346
hc_c38h22_0pent_171,-5.526,-1.651,3.875,0.086,-39713.172,-39706.608,-39713.863,-0.691,6.564
hc_c42h24_0pent_1903,-5.370,-1.912,3.457,0.105,-43887.994,-43881.631,-43888.944,-0.950,6.364
hc_c42h24_0pent_4941,-5.117,-2.177,2.939,0.178,-43887.892,-43881.714,-43889.042,-1.149,6.179
hc_c38h22_0pent_1093,-5.207,-2.081,3.126,0.262,-39712.615,-39706.373,-39713.698,-1.083,6.242
hc_c42h24_0pent_3763,-5.160,-2.035,3.125,0.218,-43887.740,-43881.538,-43888.787,-1.047,6.202
hc_c42h24_0pent_542,-5.450,-1.833,3.616,0.259,-43887.285,-43880.846,-43888.166,-0.882,6.439
hc_c42h24_0pent_1134,-5.192,-2.092,3.101,0.049,-43887.936,-43881.730,-43889.042,-1.106,6.206
hc_c42h24_0pent_4264,-5.292,-1.921,3.371,0.343,-43887.679,-43881.363,-43888.625,-0.947,6.316
hc_c34h20_0pent_19,-5.456,-1.807,3.649,0.370,-35536.595,-35530.058,-35537.361,-0.767,6.537
hc_c42h24_0pent_1726,-5.214,-2.089,3.125,0.092,-43887.910,-43881.705,-43889.024,-1.114,6.205
hc_c38h22_0pent_121,-5.445,-1.756,3.689,0.235,-39712.185,-39705.686,-39712.900,-0.716,6.499
hc_c42h24_0pent_6172,-4.978,-2.240,2.738,0.137,-43887.247,-43881.220,-43888.472,-1.226,6.027
hc_c42h24_0pent_2760,-5.242,-1.970,3.273,0.256,-43887.791,-43881.518,-43888.743,-0.953,6.272
hc_c42h24_0pent_3149,-5.327,-1.907,3.420,0.226,-43887.910,-43881.596,-43888.874,-0.964,6.314
hc_c42h24_0pent_768,-5.313,-1.979,3.334,0.218,-43887.504,-43881.128,-43888.444,-0.939,6.376
hc_c42h24_0pent_5524,-5.028,-2.307,2.721,0.088,-43887.710,-43881.662,-43889.028,-1.318,6.048
hc_c42h24_0pent_1410,-5.319,-1.913,3.405,0.372,-43887.520,-43881.151,-43888.415,-0.895,6.369
hc_c42h24_0pent_1895,-5.448,-1.812,3.636,0.042,-43888.429,-43881.990,-43889.292,-0.863,6.439
hc_c42h24_0pent_2647,-5.379,-1.904,3.475,0.450,-43887.793,-43881.382,-43888.706,-0.913,6.411
hc_c42h24_0pent_1883,-5.134,-2.108,3.026,0.304,-43887.842,-43881.687,-43888.933,-1.090,6.155
hc_c42h24_0pent_3837,-5.298,-2.038,3.260,0.080,-43888.576,-43882.240,-43889.603,-1.027,6.336
hc_c42h24_0pent_4509,-5.201,-1.919,3.282,0.329,-43887.078,-43880.804,-43887.955,-0.877,6.274
hc_c42h24_0pent_247,-5.423,-1.843,3.580,0.327,-43887.672,-43881.266,-43888.560,-0.888,6.406
