molecule_id,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_2188,-5.355,-1.934,3.421,0.203,-43887.629,-43881.304,-43888.628,-0.998,6.325
hc_c42h24_0pent_5824,-5.066,-2.260,2.806,0.124,-43888.023,-43881.961,-43889.316,-1.293,6.062
hc_c42h24_0pent_5790,-5.115,-2.193,2.922,0.299,-43887.985,-43881.815,-43889.157,-1.172,6.170
hc_c42h24_0pent_1266,-5.328,-1.938,3.390,0.048,-43887.720,-43881.386,-43888.679,-0.960,6.334
hc_c38h22_0pent_768,-5.253,-1.955,3.298,0.047,-39712.349,-39705.996,-39713.221,-0.872,6.353
hc_c42h24_0pent_5527,-5.006,-2.303,2.703,0.129,-43887.817,-43881.793,-43889.136,-1.320,6.023
hc_c42h24_0pent_1500,-5.284,-1.997,3.286,0.110,-43887.259,-43880.933,-43888.269,-1.010,6.326
hc_c42h24_0pent_3769,-5.148,-2.041,3.108,0.388,-43887.694,-43881.490,-43888.737,-1.043,6.204
hc_c42h24_0pent_5660,-5.049,-2.248,2.801,0.129,-43887.318,-43881.275,-43888.601,-1.283,6.043
hc_c42h24_0pent_1343,-5.272,-1.949,3.323,0.301,-43887.729,-43881.444,-43888.693,-0.963,6.285
hc_c42h24_0pent_1657,-5.209,-1.939,3.270,0.334,-43887.085,-43880.770,-43887.958,-0.873,6.315
hc_c42h24_0pent_5061,-5.228,-2.133,3.095,0.156,-43888.560,-43882.298,-43889.673,-1.112,6.263
hc_c42h24_0pent_3214,-5.346,-1.938,3.407,0.329,-43887.959,-43881.615,-43888.946,-0.987,6.344
hc_c42h24_0pent_5088,-5.056,-2.180,2.876,0.042,-43887.636,-43881.627,-43888.821,-1.185,6.009
hc_c42h24_0pent_6434,-4.787,-2.580,2.207,0.099,-43887.120,-43881.290,-43888.682,-1.562,5.829
hc_c42h24_0pent_5724,-5.059,-2.293,2.766,0.128,-43888.380,-43882.294,-43889.665,-1.285,6.086
hc_c42h24_0pent_3306,-5.276,-1.958,3.318,0.285,-43886.902,-43880.577,-43887.852,-0.950,6.324
hc_c42h24_0pent_1693,-5.369,-1.913,3.456,0.076,-43887.670,-43881.304,-43888.607,-0.937,6.366
hc_c42h24_0pent_4567,-4.989,-2.149,2.840,0.298,-43887.179,-43881.025,-43888.643,-1.464,6.154
hc_c42h24_0pent_2742,-5.191,-1.933,3.258,0.448,-43887.315,-43881.042,-43888.189,-0.874,6.273
hc_c38h22_0pent_1170,-5.238,-1.938,3.299,0.040,-39712.016,-39705.671,-39712.876,-0.860,6.345
hc_c38h22_0pent_100,-5.535,-1.706,3.829,0.048,-39712.876,-39706.301,-39713.610,-0.734,6.575
hc_c42h24_0pent_4693,-4.846,-2.491,2.355,0.188,-43887.574,-43881.712,-43889.076,-1.502,5.862
hc_c42h24_0pent_3692,-5.174,-2.088,3.086,0.194,-43888.002,-43881.822,-43889.119,-1.118,6.179
hc_c42h24_0pent_1671,-5.290,-1.970,3.320,0.148,-43887.545,-43881.238,-43888.511,-0.967,6.307
hc_c38h22_0pent_339,-5.182,-2.143,3.039,0.145,-39712.692,-39706.438,-39713.785,-1.093,6.254
hc_c42h24_0pent_2748,-5.309,-1.912,3.396,0.500,-43887.605,-43881.255,-43888.541,-0.936,6.350
hc_c42h24_0pent_3251,-5.208,-2.092,3.116,0.234,-43887.493,-43881.299,-43888.632,-1.139,6.194
hc_c38h22_0pent_553,-5.309,-1.978,3.331,0.018,-39713.342,-39707.031,-39714.343,-1.001,6.311
hc_c42h24_0pent_4792,-5.012,-2.311,2.701,0.138,-43887.793,-43881.760,-43889.105,-1.312,6.033
hc_c42h24_0pent_3161,-5.357,-1.916,3.442,0.357,-43888.049,-43881.697,-43889.013,-0.965,6.351
hc_c42h24_0pent_3988,-5.233,-2.055,3.179,0.138,-43887.801,-43881.592,-43888.910,-1.109,6.209
hc_c42h24_0pent_1540,-5.411,-1.891,3.519,0.148,-43888.438,-43882.024,-43889.332,-0.894,6.415
hc_c42h24_0pent_5227,-5.121,-2.242,2.879,0.037,-43888.434,-43882.263,-43889.647,-1.214,6.171
hc_c42h24_0pent_1187,-5.190,-2.132,3.058,0.089,-43887.668,-43881.468,-43888.795,-1.127,6.200
hc_c42h24_0pent_3446,-5.387,-1.880,3.507,0.382,-43887.861,-43881.447,-43888.781,-0.920,6.415
hc_c38h22_0pent_1470,-5.131,-2.199,2.931,0.066,-39712.965,-39706.773,-39714.131,-1.165,6.192
hc_c42h24_0pent_5321,-5.112,-2.209,2.903,0.083,-43888.041,-43881.947,-43889.301,-1.260,6.094
hc_c42h24_0pent_4004,-5.282,-1.996,3.286,0.125,-43887.320,-43881.021,-43888.333,-1.013,6.300
hc_c42h24_0pent_6351,-4.983,-2.424,2.558,0.134,-43888.368,-43882.351,-43889.779,-1.411,6.018
hc_c38h22_0pent_14,-5.424,-1.815,3.609,0.106,-39711.972,-39705.490,-39712.780,-0.808,6.482
hc_c34h20_0pent_308,-5.354,-1.885,3.469,0.196,-35537.593,-35531.135,-35538.407,-0.814,6.458
hc_c42h24_0pent_5958,-5.043,-2.292,2.751,0.268,-43887.769,-43881.726,-43889.057,-1.289,6.043
hc_c42h24_0pent_4161,-5.334,-1.958,3.375,0.198,-43888.059,-43881.745,-43889.066,-1.007,6.314
hc_c42h24_0pent_3185,-5.321,-1.961,3.360,0.044,-43887.605,-43881.274,-43888.581,-0.976,6.330
hc_c34h20_0pent_290,-5.417,-1.869,3.548,0.137,-35537.646,-35531.128,-35538.466,-0.819,6.518
hc_c38h22_0pent_93,-5.527,-1.718,3.809,0.258,-39712.596,-39706.030,-39713.307,-0.712,6.566
hc_c34h20_0pent_74,-5.495,-1.740,3.754,0.126,-35537.202,-35530.635,-35537.920,-0.718,6.567
hc_c42h24_0pent_5877,-5.112,-2.258,2.854,0.030,-43888.332,-43882.207,-43889.614,-1.282,6.125
hc_c38h22_0pent_435,-5.230,-2.039,3.192,0.154,-39712.354,-39706.052,-39713.345,-0.991,6.302
hc_c42h24_0pent_6202,-4.625,-2.763,1.863,0.074,-43887.220,-43881.633,-43889.036,-1.816,5.587
hc_c42h24_0pent_2889,-5.292,-2.004,3.288,0.158,-43887.952,-43881.658,-43888.980,-1.027,6.295
hc_c42h24_0pent_2856,-5.195,-2.040,3.155,0.159,-43886.892,-43880.675,-43887.943,-1.051,6.217
hc_c42h24_0pent_276,-5.434,-1.773,3.661,0.095,-43887.561,-43881.114,-43888.355,-0.794,6.447
hc_c42h24_0pent_901,-5.282,-1.861,3.421,0.306,-43887.334,-43880.964,-43888.148,-0.813,6.371
hc_c42h24_0pent_1834,-5.372,-1.914,3.457,0.122,-43887.916,-43881.465,-43888.835,-0.919,6.452
hc_c34h20_0pent_218,-5.286,-1.965,3.321,0.186,-35537.025,-35530.617,-35537.907,-0.882,6.408
hc_c42h24_0pent_1460,-5.188,-1.952,3.236,0.220,-43887.473,-43881.247,-43888.411,-0.937,6.226
hc_c42h24_0pent_1891,-5.418,-1.833,3.585,0.152,-43888.427,-43882.026,-43889.312,-0.885,6.402
hc_c42h24_0pent_4151,-5.167,-2.142,3.025,0.217,-43887.159,-43881.004,-43888.342,-1.183,6.155
hc_c42h24_0pent_2146,-5.420,-1.865,3.554,0.347,-43887.994,-43881.554,-43888.858,-0.864,6.441
hc_c42h24_0pent_5054,-5.133,-2.194,2.938,0.193,-43887.762,-43881.537,-43888.907,-1.146,6.225
hc_c42h24_0pent_6132,-5.081,-2.156,2.926,0.266,-43887.780,-43881.660,-43888.931,-1.151,6.119
hc_c42h24_0pent_5703,-4.964,-2.300,2.664,0.096,-43887.370,-43881.342,-43888.647,-1.277,6.028
hc_c42h24_0pent_518,-5.459,-1.831,3.628,0.175,-43887.479,-43881.023,-43888.348,-0.870,6.455
hc_c42h24_0pent_1060,-5.130,-2.126,3.005,0.281,-43887.764,-43881.629,-43888.909,-1.145,6.136
hc_c38h22_0pent_334,-5.209,-2.085,3.124,0.270,-39712.787,-39706.522,-39713.807,-1.021,6.265
hc_c38h22_0pent_740,-5.306,-1.931,3.375,0.313,-39712.550,-39706.150,-39713.424,-0.874,6.400
hc_c42h24_0pent_1357,-5.455,-1.852,3.603,0.186,-43888.116,-43881.653,-43888.992,-0.876,6.463
hc_c42h24_0pent_4965,-5.039,-2.275,2.764,0.080,-43887.353,-43881.256,-43888.593,-1.240,6.096
hc_c42h24_0pent_1545,-5.348,-1.956,3.392,0.076,-43888.044,-43881.671,-43889.000,-0.956,6.372
hc_c42h24_0pent_3378,-5.335,-1.895,3.440,0.231,-43887.457,-43881.039,-43888.361,-0.904,6.418
hc_c42h24_0pent_667,-5.411,-1.898,3.513,0.060,-43887.175,-43880.772,-43888.118,-0.943,6.403
hc_c42h24_0pent_1424,-5.358,-1.936,3.422,0.115,-43888.402,-43882.025,-43889.345,-0.943,6.377
hc_c42h24_0pent_3908,-5.240,-1.966,3.273,0.472,-43887.331,-43881.023,-43888.301,-0.970,6.307
hc_c42h24_0pent_5359,-5.098,-2.186,2.912,0.152,-43887.389,-43881.294,-43888.580,-1.191,6.094
hc_c38h22_0pent_1255,-5.069,-2.261,2.808,0.066,-39712.649,-39706.512,-39713.876,-1.227,6.137
hc_c26h16_0pent_23,-5.195,-2.080,3.115,0.000,-27187.336,-27180.944,-27188.259,-0.923,6.392
hc_c38h22_0pent_780,-5.318,-1.983,3.335,0.094,-39712.657,-39706.288,-39713.622,-0.965,6.369
hc_c38h22_0pent_809,-5.417,-1.839,3.578,0.025,-39713.423,-39707.001,-39714.243,-0.820,6.422
hc_c42h24_0pent_2014,-5.356,-1.884,3.471,0.250,-43888.087,-43881.729,-43889.013,-0.927,6.358
hc_c42h24_0pent_2970,-5.413,-1.871,3.542,0.137,-43888.415,-43882.005,-43889.312,-0.897,6.410
hc_c38h22_0pent_501,-5.344,-1.868,3.476,0.212,-39712.485,-39706.081,-39713.369,-0.884,6.404
hc_c42h24_0pent_2041,-5.380,-1.878,3.502,0.139,-43887.583,-43881.212,-43888.500,-0.916,6.371
hc_c38h22_0pent_554,-5.337,-1.911,3.426,0.098,-39713.280,-39706.962,-39714.248,-0.968,6.317
hc_c42h24_0pent_4206,-5.351,-1.935,3.417,0.198,-43888.324,-43882.012,-43889.331,-1.008,6.312
hc_c42h24_0pent_4752,-4.953,-2.369,2.584,0.051,-43887.697,-43881.712,-43889.053,-1.355,5.986
hc_c42h24_0pent_4867,-4.957,-2.186,2.771,0.283,-43887.220,-43881.137,-43888.314,-1.094,6.083
hc_c42h24_0pent_3845,-5.259,-2.068,3.191,0.111,-43888.550,-43882.259,-43889.613,-1.063,6.291
hc_c42h24_0pent_2090,-5.333,-1.943,3.390,0.058,-43888.721,-43882.428,-43889.725,-1.003,6.294
hc_c42h24_0pent_1927,-5.482,-1.895,3.587,0.357,-43888.014,-43881.495,-43888.888,-0.873,6.519
hc_c42h24_0pent_307,-5.401,-1.856,3.545,0.477,-43886.814,-43880.422,-43887.724,-0.910,6.393
hc_c34h20_0pent_135,-5.304,-1.937,3.367,0.073,-35536.990,-35530.552,-35537.829,-0.839,6.438
hc_c42h24_0pent_1352,-5.280,-1.989,3.290,0.087,-43887.700,-43881.405,-43888.705,-1.005,6.294
hc_c42h24_0pent_6007,-5.070,-2.269,2.801,0.090,-43887.749,-43881.597,-43888.977,-1.228,6.151
hc_c42h24_0pent_1833,-5.370,-1.899,3.470,0.123,-43887.998,-43881.642,-43888.888,-0.890,6.356
hc_c42h24_0pent_2701,-5.323,-1.887,3.437,0.235,-43887.574,-43881.249,-43888.482,-0.908,6.325
hc_c42h24_0pent_2868,-5.332,-1.951,3.381,0.086,-43888.053,-43881.673,-43889.027,-0.974,6.380
hc_c38h22_0pent_1303,-5.195,-2.207,2.987,0.075,-39713.036,-39706.803,-39714.234,-1.198,6.234
hc_c42h24_0pent_1339,-5.337,-1.961,3.377,0.158,-43888.126,-43881.776,-43889.102,-0.976,6.350
hc_c38h22_0pent_692,-5.351,-1.923,3.428,0.000,-39712.828,-39706.422,-39713.737,-0.909,6.406
hc_c42h24_0pent_3712,-5.215,-2.043,3.171,0.141,-43888.106,-43881.870,-43889.165,-1.058,6.236
hc_c42h24_0pent_5396,-5.244,-2.092,3.152,0.083,-43888.218,-43881.986,-43889.328,-1.110,6.232
hc_c42h24_0pent_4796,-4.991,-2.355,2.636,0.284,-43887.896,-43881.867,-43889.228,-1.332,6.029
hc_c42h24_0pent_2879,-5.386,-1.865,3.521,0.122,-43888.178,-43881.763,-43889.060,-0.882,6.415
hc_c42h24_0pent_1600,-5.311,-1.885,3.426,0.153,-43887.662,-43881.330,-43888.545,-0.883,6.331
hc_c38h22_0pent_757,-5.278,-1.981,3.296,0.147,-39712.758,-39706.417,-39713.710,-0.951,6.342
hc_c42h24_0pent_4331,-5.265,-2.006,3.260,0.097,-43888.002,-43881.737,-43889.038,-1.036,6.265
hc_c34h20_0pent_97,-5.199,-2.065,3.134,0.099,-35537.696,-35531.392,-35538.670,-0.975,6.304
hc_c42h24_0pent_5167,-5.100,-2.209,2.891,0.301,-43887.865,-43881.694,-43889.022,-1.157,6.171
hc_c42h24_0pent_2123,-5.421,-1.880,3.541,0.176,-43888.373,-43881.935,-43889.269,-0.896,6.438
hc_c42h24_0pent_4579,-4.988,-2.268,2.720,0.472,-43887.458,-43881.196,-43888.662,-1.204,6.262
hc_c38h22_0pent_264,-5.316,-1.869,3.447,0.167,-39712.529,-39706.121,-39713.364,-0.834,6.409
hc_c38h22_0pent_144,-5.431,-1.816,3.615,0.218,-39712.164,-39705.691,-39712.974,-0.810,6.473
hc_c42h24_0pent_5664,-5.108,-2.261,2.846,0.109,-43888.384,-43882.248,-43889.662,-1.278,6.136
hc_c38h22_0pent_227,-5.457,-1.748,3.709,0.205,-39712.206,-39705.673,-39712.843,-0.637,6.532
hc_c42h24_0pent_5888,-4.945,-2.380,2.565,0.088,-43887.955,-43881.980,-43889.326,-1.371,5.975
hc_c42h24_0pent_6106,-5.052,-2.197,2.855,0.238,-43887.736,-43881.677,-43888.955,-1.219,6.059
hc_c42h24_0pent_875,-5.297,-2.007,3.290,0.254,-43887.683,-43881.187,-43888.623,-0.940,6.496
hc_c38h22_0pent_94,-5.494,-1.708,3.786,0.169,-39712.603,-39706.078,-39713.325,-0.721,6.526
hc_c38h22_0pent_986,-5.193,-2.035,3.158,0.138,-39712.678,-39706.427,-39713.690,-1.012,6.251
hc_c42h24_0pent_5151,-5.185,-2.138,3.047,0.294,-43888.246,-43882.035,-43889.368,-1.122,6.211
hc_c42h24_0pent_941,-5.303,-1.886,3.417,0.211,-43887.394,-43880.984,-43888.204,-0.810,6.410
hc_c42h24_0pent_5454,-5.165,-2.190,2.975,0.248,-43888.165,-43881.994,-43889.375,-1.210,6.171
hc_c42h24_0pent_2367,-5.467,-1.856,3.611,0.065,-43888.680,-43882.222,-43889.567,-0.887,6.458
hc_c42h24_0pent_2266,-5.278,-1.932,3.346,0.289,-43887.807,-43881.541,-43888.783,-0.977,6.266
hc_c42h24_0pent_4590,-5.009,-2.266,2.743,0.101,-43887.737,-43881.652,-43888.954,-1.217,6.085
hc_c38h22_0pent_1520,-5.035,-2.253,2.781,0.181,-39712.545,-39706.406,-39713.736,-1.191,6.139
hc_c38h22_0pent_810,-5.457,-1.849,3.608,0.107,-39713.027,-39706.561,-39713.888,-0.861,6.466
hc_c42h24_0pent_2095,-5.397,-1.921,3.476,0.035,-43888.568,-43882.198,-43889.551,-0.984,6.370
hc_c42h24_0pent_4815,-5.133,-2.186,2.948,0.082,-43887.913,-43881.769,-43889.114,-1.202,6.144
hc_c42h24_0pent_734,-5.141,-1.902,3.240,0.265,-43886.824,-43880.510,-43887.653,-0.829,6.314
hc_c42h24_0pent_4085,-5.210,-2.011,3.200,0.198,-43887.357,-43881.110,-43888.373,-1.016,6.247
hc_c42h24_0pent_5564,-5.083,-2.140,2.942,0.324,-43887.739,-43881.596,-43888.863,-1.125,6.142
hc_c42h24_0pent_3890,-5.306,-1.939,3.367,0.195,-43887.539,-43881.246,-43888.536,-0.998,6.293
hc_c42h24_0pent_6056,-4.973,-2.332,2.641,0.285,-43887.450,-43881.446,-43888.776,-1.326,6.005
hc_c38h22_0pent_1013,-5.265,-2.054,3.210,0.157,-39713.284,-39706.956,-39714.310,-1.025,6.328
hc_c42h24_0pent_1495,-5.278,-1.929,3.350,0.145,-43887.054,-43880.713,-43887.970,-0.916,6.341
hc_c42h24_0pent_3755,-5.154,-2.038,3.115,0.617,-43887.576,-43881.383,-43888.618,-1.042,6.193
hc_c42h24_0pent_6059,-5.064,-2.268,2.795,0.123,-43887.755,-43881.645,-43888.998,-1.242,6.111
hc_c42h24_0pent_4347,-5.312,-1.936,3.376,0.112,-43888.062,-43881.745,-43889.030,-0.968,6.317
hc_c42h24_0pent_3752,-5.162,-2.060,3.103,0.241,-43887.743,-43881.579,-43888.815,-1.072,6.164
hc_c42h24_0pent_5976,-4.976,-2.352,2.624,0.101,-43887.943,-43881.942,-43889.289,-1.346,6.002
hc_c42h24_0pent_5854,-4.999,-2.267,2.732,0.240,-43887.792,-43881.777,-43889.071,-1.279,6.015
hc_c34h20_0pent_165,-5.412,-1.818,3.594,0.027,-35538.071,-35531.598,-35538.846,-0.775,6.473
hc_c42h24_0pent_4573,-5.028,-2.155,2.873,0.281,-43887.373,-43881.235,-43888.461,-1.088,6.138
hc_c38h22_0pent_205,-5.398,-1.827,3.571,0.153,-39712.158,-39705.715,-39712.969,-0.811,6.443
hc_c42h24_0pent_810,-5.222,-2.000,3.222,0.261,-43887.801,-43881.600,-43888.788,-0.988,6.200
hc_c26h16_0pent_30,-5.028,-2.271,2.757,0.067,-27186.976,-27180.719,-27188.056,-1.080,6.257
hc_c42h24_0pent_4916,-5.073,-2.244,2.829,0.136,-43887.860,-43881.758,-43889.101,-1.241,6.102
hc_c42h24_0pent_1721,-5.297,-2.014,3.283,0.159,-43888.047,-43881.757,-43889.084,-1.036,6.291
hc_c42h24_0pent_6424,-4.789,-2.554,2.234,0.138,-43887.611,-43881.798,-43889.168,-1.557,5.812
hc_c42h24_0pent_3973,-5.336,-1.962,3.374,0.122,-43888.033,-43881.666,-43888.994,-0.960,6.367
hc_c42h24_0pent_2994,-5.222,-2.074,3.148,0.128,-43887.306,-43881.089,-43888.409,-1.104,6.217
hc_c42h24_0pent_3740,-5.134,-2.120,3.015,0.205,-43887.610,-43881.473,-43888.766,-1.156,6.137
hc_c42h24_0pent_5164,-5.118,-2.230,2.889,0.123,-43887.866,-43881.681,-43889.053,-1.186,6.185
hc_c42h24_0pent_4666,-5.071,-2.294,2.778,0.263,-43888.141,-43882.039,-43889.415,-1.274,6.101
hc_c42h24_0pent_674,-5.415,-1.860,3.555,0.170,-43887.161,-43880.735,-43888.047,-0.886,6.426
hc_c42h24_0pent_3948,-5.454,-1.829,3.625,0.103,-43888.173,-43881.716,-43889.025,-0.851,6.457
hc_c26h16_0pent_5,-5.518,-1.611,3.908,0.084,-27186.978,-27180.248,-27187.422,-0.445,6.730
hc_c42h24_0pent_1955,-5.198,-2.010,3.188,0.193,-43887.381,-43881.011,-43888.381,-1.000,6.371
hc_c42h24_0pent_2692,-5.232,-2.016,3.217,0.229,-43887.643,-43881.400,-43888.679,-1.035,6.244
hc_c38h22_0pent_369,-5.304,-1.906,3.397,0.111,-39712.544,-39706.145,-39713.399,-0.855,6.398
hc_c42h24_0pent_1862,-5.147,-2.116,3.031,0.157,-43887.901,-43881.736,-43889.042,-1.141,6.164
hc_c42h24_0pent_1635,-5.242,-2.066,3.175,0.284,-43887.706,-43881.449,-43888.784,-1.077,6.258
hc_c42h24_0pent_185,-5.431,-1.817,3.614,0.000,-43887.422,-43881.009,-43888.302,-0.880,6.413
hc_c42h24_0pent_2849,-5.211,-2.058,3.153,0.295,-43887.101,-43880.863,-43888.184,-1.083,6.239
hc_c42h24_0pent_6435,-4.770,-2.573,2.197,0.242,-43887.111,-43881.294,-43888.662,-1.550,5.818
hc_c30h18_0pent_19,-5.529,-1.633,3.896,0.102,-31362.555,-31355.873,-31363.083,-0.528,6.682
hc_c42h24_0pent_1366,-5.344,-1.917,3.426,0.208,-43887.870,-43881.497,-43888.803,-0.933,6.373
hc_c38h22_0pent_862,-5.260,-2.015,3.246,0.068,-39712.493,-39706.170,-39713.475,-0.982,6.323
hc_c38h22_0pent_425,-5.348,-1.949,3.399,0.085,-39713.055,-39706.648,-39713.956,-0.902,6.407
hc_c42h24_0pent_1744,-5.252,-1.978,3.275,0.073,-43887.514,-43881.267,-43888.518,-1.004,6.247
hc_c42h24_0pent_6556,-4.879,-2.438,2.440,0.146,-43887.753,-43881.827,-43889.175,-1.422,5.926
hc_c42h24_0pent_3437,-5.295,-1.951,3.345,0.115,-43887.853,-43881.526,-43888.810,-0.957,6.327
hc_c42h24_0pent_867,-5.317,-1.949,3.368,0.082,-43888.022,-43881.703,-43888.968,-0.946,6.318
hc_c42h24_0pent_1246,-5.075,-2.149,2.926,0.541,-43887.721,-43881.578,-43888.900,-1.179,6.143
hc_c42h24_0pent_347,-5.516,-1.714,3.802,0.114,-43888.156,-43881.646,-43888.934,-0.778,6.510
hc_c34h20_0pent_263,-5.275,-2.022,3.253,0.110,-35537.937,-35531.588,-35538.907,-0.970,6.349
hc_c34h20_0pent_220,-5.228,-2.029,3.199,0.136,-35537.065,-35530.732,-35538.020,-0.955,6.333
hc_c42h24_0pent_4018,-5.244,-2.045,3.198,0.057,-43888.024,-43881.771,-43889.094,-1.070,6.253
hc_c42h24_0pent_3891,-5.301,-1.949,3.352,0.287,-43887.646,-43881.320,-43888.629,-0.982,6.326
hc_c42h24_0pent_5053,-5.089,-2.132,2.957,0.408,-43887.780,-43881.571,-43888.837,-1.057,6.209
hc_c42h24_0pent_2462,-5.456,-1.851,3.605,0.026,-43888.733,-43882.279,-43889.627,-0.894,6.454
hc_c42h24_0pent_855,-5.259,-1.950,3.309,0.229,-43887.346,-43881.090,-43888.332,-0.986,6.257
hc_c42h24_0pent_4634,-4.999,-2.259,2.740,0.235,-43887.663,-43881.594,-43888.892,-1.228,6.070
hc_c42h24_0pent_3568,-5.098,-2.151,2.947,0.232,-43887.258,-43881.140,-43888.416,-1.158,6.119
hc_c42h24_0pent_1598,-5.294,-1.927,3.367,0.255,-43887.576,-43881.277,-43888.536,-0.960,6.299
hc_c42h24_0pent_3380,-5.354,-1.914,3.440,0.293,-43887.481,-43881.110,-43888.425,-0.944,6.372
hc_c42h24_0pent_2503,-5.368,-1.923,3.446,0.146,-43888.060,-43881.689,-43888.994,-0.934,6.371
hc_c42h24_0pent_6651,-4.729,-2.670,2.059,0.149,-43887.747,-43882.012,-43889.434,-1.686,5.736
hc_c42h24_0pent_162,-5.521,-1.725,3.796,0.134,-43888.205,-43881.685,-43888.974,-0.769,6.520
hc_c42h24_0pent_249,-5.477,-1.746,3.730,0.055,-43887.406,-43880.930,-43888.184,-0.779,6.475
hc_c42h24_0pent_4674,-4.951,-2.407,2.544,0.091,-43887.909,-43881.947,-43889.323,-1.414,5.962
hc_c42h24_0pent_176,-5.376,-1.761,3.615,0.261,-43887.186,-43880.771,-43887.904,-0.718,6.414
hc_c42h24_0pent_1441,-5.274,-1.951,3.323,0.416,-43887.696,-43881.388,-43888.645,-0.949,6.308
hc_c42h24_0pent_2864,-5.248,-1.968,3.280,0.323,-43887.336,-43880.961,-43888.224,-0.888,6.374
hc_c42h24_0pent_3816,-5.251,-2.022,3.229,0.374,-43887.880,-43881.643,-43888.903,-1.023,6.237
hc_c42h24_0pent_5992,-4.973,-2.329,2.644,0.318,-43887.341,-43881.301,-43888.644,-1.303,6.040
hc_c38h22_0pent_212,-5.486,-1.768,3.718,0.351,-39712.123,-39705.578,-39712.892,-0.769,6.544
hc_c42h24_0pent_618,-5.479,-1.803,3.676,0.205,-43887.465,-43880.971,-43888.270,-0.806,6.493
hc_c42h24_0pent_2691,-5.213,-1.999,3.214,0.200,-43887.870,-43881.653,-43888.900,-1.030,6.218
hc_c42h24_0pent_3596,-5.272,-2.050,3.223,0.150,-43888.552,-43882.268,-43889.620,-1.067,6.285
hc_c42h24_0pent_5874,-5.121,-2.239,2.882,0.229,-43888.438,-43882.323,-43889.708,-1.271,6.114
hc_c42h24_0pent_598,-5.504,-1.760,3.744,0.204,-43887.854,-43881.361,-43888.666,-0.812,6.493
hc_c42h24_0pent_201,-5.487,-1.818,3.669,0.140,-43887.291,-43880.803,-43888.151,-0.859,6.488
hc_c42h24_0pent_3853,-5.235,-2.104,3.131,0.189,-43888.472,-43882.251,-43889.621,-1.149,6.221
hc_c42h24_0pent_5651,-5.080,-2.281,2.799,0.055,-43888.308,-43882.211,-43889.590,-1.282,6.097
hc_c38h22_0pent_1454,-5.044,-2.279,2.764,0.140,-39712.780,-39706.646,-39713.984,-1.204,6.134
hc_c42h24_0pent_989,-5.263,-1.906,3.357,0.094,-43887.810,-43881.527,-43888.719,-0.909,6.283
hc_c42h24_0pent_753,-5.204,-1.950,3.254,0.264,-43887.553,-43881.329,-43888.587,-1.035,6.224
hc_c42h24_0pent_5078,-5.247,-2.160,3.087,0.137,-43888.446,-43882.218,-43889.647,-1.200,6.229
hc_c42h24_0pent_3184,-5.269,-1.896,3.372,0.220,-43887.786,-43881.453,-43888.666,-0.880,6.333
hc_c42h24_0pent_1521,-5.335,-1.939,3.396,0.105,-43888.058,-43881.719,-43889.022,-0.964,6.339
hc_c42h24_0pent_1908,-5.252,-1.949,3.303,0.124,-43887.656,-43881.421,-43888.652,-0.996,6.235
hc_c42h24_0pent_3385,-5.269,-1.969,3.300,0.341,-43887.320,-43881.025,-43888.302,-0.982,6.295
hc_c42h24_0pent_2621,-5.209,-2.065,3.144,0.073,-43887.522,-43881.292,-43888.601,-1.079,6.231
hc_c42h24_0pent_4695,-5.104,-2.210,2.894,0.131,-43888.221,-43882.117,-43889.448,-1.227,6.105
hc_c38h22_0pent_256,-5.341,-1.946,3.395,0.254,-39712.679,-39706.243,-39713.515,-0.836,6.437
hc_c42h24_0pent_6316,-4.924,-2.460,2.463,0.226,-43887.778,-43881.851,-43889.261,-1.484,5.926
hc_c42h24_0pent_5365,-5.076,-2.237,2.839,0.120,-43888.034,-43881.964,-43889.293,-1.260,6.070
hc_c42h24_0pent_4804,-4.981,-2.356,2.625,0.172,-43887.802,-43881.789,-43889.153,-1.351,6.013
hc_c42h24_0pent_3428,-5.351,-1.899,3.453,0.116,-43888.089,-43881.742,-43889.024,-0.934,6.347
hc_c42h24_0pent_2780,-5.359,-1.909,3.451,0.151,-43888.109,-43881.756,-43889.051,-0.942,6.353
hc_c38h22_0pent_195,-5.483,-1.789,3.694,0.243,-39712.272,-39705.739,-39713.049,-0.777,6.534
hc_c38h22_0pent_1192,-5.358,-1.829,3.529,0.312,-39712.179,-39705.750,-39712.969,-0.790,6.429
hc_c42h24_0pent_2934,-5.316,-1.985,3.331,0.189,-43887.639,-43881.315,-43888.667,-1.028,6.324
hc_c42h24_0pent_5140,-5.189,-2.132,3.057,0.126,-43888.258,-43882.060,-43889.410,-1.152,6.198
hc_c42h24_0pent_1010,-5.342,-1.922,3.420,0.085,-43887.694,-43881.324,-43888.638,-0.945,6.369
hc_c34h20_0pent_377,-5.133,-2.185,2.948,0.092,-35537.680,-35531.442,-35538.794,-1.114,6.238
hc_c38h22_0pent_65,-5.482,-1.791,3.691,0.119,-39712.494,-39705.966,-39713.286,-0.791,6.528
hc_c42h24_0pent_5470,-5.085,-2.239,2.845,0.126,-43888.194,-43882.092,-43889.439,-1.244,6.103
hc_c42h24_0pent_4643,-5.087,-2.197,2.889,0.060,-43887.990,-43881.821,-43889.146,-1.156,6.169
