molecule,augmented_lalas,lalas,n_rings,n_branching_points,n_secondary_branching_points,n_LAL,L_ratio,longest_L,longest_L_degeneracy,second_longest_L,A_ratio,A_ratio_insensitive,Aa_ratio,longest_A,longest_A_insensitive,longest_A_degeneracy,second_longest_A,second_longest_A_insensitive
hc_c34h20_0pent_166,LALaAA,LALAAA,8,0,0,1,0.3333,1,2,0,0.5000,0.6667,0.3333,2,3,1,1,1
hc_c34h20_0pent_167,ALALA(),ALALA(),8,1,0,1,0.3333,1,2,0,0.5000,0.5000,0.0000,1,1,3,0,0
hc_c34h20_0pent_168,LALa()a,LALA()A,8,1,0,1,0.3333,1,2,0,0.1667,0.5000,0.5000,2,2,1,1,1
hc_c34h20_0pent_169,LALa()A,LALA()A,8,1,0,1,0.3333,1,2,0,0.3333,0.5000,0.5000,1,2,1,0,1
hc_c34h20_0pent_17,A()A(A)a,A()A(A)A,8,2,0,0,0.0000,0,9,0,0.5000,0.6667,0.3333,3,3,2,2,0
hc_c34h20_0pent_170,LALA()a,LALA()A,8,1,0,1,0.3333,1,2,0,0.3333,0.5000,0.5000,1,2,1,0,1
hc_c34h20_0pent_171,LALA()A,LALA()A,8,1,0,1,0.3333,1,2,0,0.5000,0.5000,0.0000,2,2,1,1,1
hc_c34h20_0pent_172,ALaLaa,ALALAA,8,0,0,1,0.3333,1,2,0,0.1667,0.6667,0.3333,2,2,1,1,1
hc_c34h20_0pent_173,ALALaa,ALALAA,8,0,0,1,0.3333,1,2,0,0.3333,0.6667,1.0000,2,2,1,1,1
hc_c34h20_0pent_174,ALaLAA,ALALAA,8,0,0,1,0.3333,1,2,0,0.5000,0.6667,0.3333,2,2,1,1,1
hc_c34h20_0pent_175,A()LALa,A()LALA,8,1,0,1,0.3333,1,2,0,0.3333,0.5000,0.5000,1,1,3,0,0
hc_c34h20_0pent_176,ALALAA,ALALAA,8,0,0,1,0.3333,1,2,0,0.6667,0.6667,0.0000,2,2,1,1,1
hc_c34h20_0pent_177,LALAaa,LALAAA,8,0,0,1,0.3333,1,2,0,0.3333,0.6667,1.0000,2,3,1,1,1
hc_c34h20_0pent_178,LALAaA,LALAAA,8,0,0,1,0.3333,1,2,0,0.5000,0.6667,0.3333,1,3,1,0,1
hc_c34h20_0pent_179,LALAA(),LALAA(),8,1,0,1,0.3333,1,2,0,0.5000,0.5000,0.0000,2,2,1,1,1
hc_c34h20_0pent_18,AA(a)A(),AA(A)A(),8,2,0,0,0.0000,0,9,0,0.5000,0.6667,0.3333,3,3,2,2,0
hc_c34h20_0pent_180,ALALAa,ALALAA,8,0,0,1,0.3333,1,2,0,0.5000,0.6667,0.3333,1,2,1,0,1
