molecule,augmented_lalas,lalas,n_rings,n_branching_points,n_secondary_branching_points,n_LAL,L_ratio,longest_L,longest_L_degeneracy,second_longest_L,A_ratio,A_ratio_insensitive,Aa_ratio,longest_A,longest_A_insensitive,longest_A_degeneracy,second_longest_A,second_longest_A_insensitive
hc_c38h22_0pent_1238,LLA()ALA,LLA()ALA,9,1,0,0,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1239,LLA()A()L,LLA()A()L,9,2,0,0,0.4286,2,1,1,0.2857,0.2857,0.0000,2,2,1,0,0
hc_c38h22_0pent_124,AAAAAaA,AAAAAAA,9,0,0,0,0.0000,0,8,0,0.8571,1.0000,0.1667,5,7,1,1,0
hc_c38h22_0pent_1240,LLA(A)AL,LLA(A)AL,9,1,0,0,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,2,0,0
hc_c38h22_0pent_1241,LLA(a)AL,LLA(A)AL,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,2,2,2,1,0
hc_c38h22_0pent_1242,LAALLaa,LAALLAA,9,0,0,0,0.4286,2,1,1,0.2857,0.5714,1.0000,2,2,2,0,0
hc_c38h22_0pent_1243,LAALLaA,LAALLAA,9,0,0,0,0.4286,2,1,1,0.4286,0.5714,0.3333,2,2,2,1,0
hc_c38h22_0pent_1244,LAALLA(),LAALLA(),9,1,0,0,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1245,ALLaaLa,ALLAALA,9,0,0,0,0.4286,2,1,1,0.1429,0.5714,0.3333,2,2,1,1,1
hc_c38h22_0pent_1246,ALLAALA,ALLAALA,9,0,0,0,0.4286,2,1,1,0.5714,0.5714,0.0000,2,2,1,1,1
hc_c38h22_0pent_1247,LAALLAa,LAALLAA,9,0,0,0,0.4286,2,1,1,0.4286,0.5714,0.3333,2,2,2,1,0
hc_c38h22_0pent_1248,LAALLAA,LAALLAA,9,0,0,0,0.4286,2,1,1,0.5714,0.5714,0.0000,2,2,2,0,0
hc_c38h22_0pent_1249,ALLa()aA,ALLA()AA,9,1,0,0,0.2857,2,1,0,0.2857,0.5714,1.0000,2,3,1,1,1
hc_c38h22_0pent_125,AAAAaAA,AAAAAAA,9,0,0,0,0.0000,0,8,0,0.8571,1.0000,0.1667,4,7,1,2,0
hc_c38h22_0pent_1250,ALLA()Aa,ALLA()AA,9,1,0,0,0.2857,2,1,0,0.4286,0.5714,0.3333,2,3,1,1,1
hc_c38h22_0pent_1251,LLA()AA(),LLA()AA(),9,2,0,0,0.2857,2,1,0,0.4286,0.4286,0.0000,3,3,1,0,0
hc_c38h22_0pent_1252,LLA()Aaa,LLA()AAA,9,1,0,0,0.2857,2,1,0,0.2857,0.5714,1.0000,2,4,1,0,0
hc_c38h22_0pent_1253,LLA(A)Aa,LLA(A)AA,9,1,0,0,0.2857,2,1,0,0.4286,0.5714,0.3333,2,3,1,1,2
hc_c38h22_0pent_1254,LLA(a)Aa,LLA(A)AA,9,1,0,0,0.2857,2,1,0,0.2857,0.5714,1.0000,2,3,1,1,2
hc_c38h22_0pent_1255,AALLaaA,AALLAAA,9,0,0,0,0.2857,2,1,0,0.4286,0.7143,0.6667,2,3,1,1,2
hc_c38h22_0pent_1256,AaLLAAa,AALLAAA,9,0,0,0,0.2857,2,1,0,0.4286,0.7143,0.6667,2,3,1,1,2
hc_c38h22_0pent_1257,A()LLAAa,A()LLAAA,9,1,0,0,0.2857,2,1,0,0.4286,0.5714,0.3333,2,3,1,1,1
hc_c38h22_0pent_1258,ALLaaA(),ALLAAA(),9,1,0,0,0.2857,2,1,0,0.2857,0.5714,1.0000,2,3,1,1,1
hc_c38h22_0pent_1259,ALLaaAA,ALLAAAA,9,0,0,0,0.2857,2,1,0,0.4286,0.7143,0.6667,2,4,1,1,1
hc_c38h22_0pent_126,AAAaAAA,AAAAAAA,9,0,0,0,0.0000,0,8,0,0.8571,1.0000,0.1667,3,7,1,1,0
hc_c38h22_0pent_1260,ALLAAA(),ALLAAA(),9,1,0,0,0.2857,2,1,0,0.5714,0.5714,0.0000,3,3,1,1,1
hc_c38h22_0pent_1261,ALLAAaa,ALLAAAA,9,0,0,0,0.2857,2,1,0,0.4286,0.7143,0.6667,2,4,1,1,1
hc_c38h22_0pent_1262,AaLLaaA,AALLAAA,9,0,0,0,0.2857,2,1,0,0.2857,0.7143,0.6667,2,3,1,1,2
hc_c38h22_0pent_1263,AALLAAa,AALLAAA,9,0,0,0,0.2857,2,1,0,0.5714,0.7143,0.2500,2,3,1,1,2
hc_c38h22_0pent_1264,LLAAA()A,LLAAA()A,9,1,0,0,0.2857,2,1,0,0.5714,0.5714,0.0000,4,4,1,0,0
hc_c38h22_0pent_1265,LLAAA()a,LLAAA()A,9,1,0,0,0.2857,2,1,0,0.4286,0.5714,0.3333,3,4,1,1,0
hc_c38h22_0pent_1266,LLAAaAA,LLAAAAA,9,0,0,0,0.2857,2,1,0,0.5714,0.7143,0.2500,2,5,1,1,0
hc_c38h22_0pent_1267,LLAAaAL,LLAAAAL,9,0,0,0,0.4286,2,1,1,0.4286,0.5714,0.3333,2,4,1,1,0
hc_c38h22_0pent_1268,LLAAaAa,LLAAAAA,9,0,0,0,0.2857,2,1,0,0.4286,0.7143,0.6667,2,5,1,1,0
hc_c38h22_0pent_1269,LLAAaA(),LLAAAA(),9,1,0,0,0.2857,2,1,0,0.4286,0.5714,0.3333,2,4,1,1,0
hc_c38h22_0pent_127,AA()Aa()A,AA()AA()A,9,2,0,0,0.0000,0,10,0,0.5714,0.7143,0.2500,3,5,1,1,0
hc_c38h22_0pent_1270,LLAA()aA,LLAA()AA,9,1,0,0,0.2857,2,1,0,0.4286,0.5714,0.3333,2,4,1,1,0
hc_c38h22_0pent_1271,LLA()AaA,LLA()AAA,9,1,0,0,0.2857,2,1,0,0.4286,0.5714,0.3333,2,4,1,1,0
hc_c38h22_0pent_1272,ALLaaAa,ALLAAAA,9,0,0,0,0.2857,2,1,0,0.2857,0.7143,0.6667,2,4,1,1,1
hc_c38h22_0pent_1273,ALLAAaA,ALLAAAA,9,0,0,0,0.2857,2,1,0,0.5714,0.7143,0.2500,2,4,1,1,1
hc_c38h22_0pent_1274,LLAAa()A,LLAAA()A,9,1,0,0,0.2857,2,1,0,0.4286,0.5714,0.3333,2,4,1,1,0
hc_c38h22_0pent_1275,LLAA()aL,LLAA()AL,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,2,3,1,1,0
hc_c38h22_0pent_1276,LLA()AaL,LLA()AAL,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,2,3,1,1,0
hc_c38h22_0pent_1277,LAaaLLA,LAAALLA,9,0,0,0,0.4286,2,1,1,0.2857,0.5714,1.0000,2,3,1,1,1
hc_c38h22_0pent_1278,LAaaLLa,LAAALLA,9,0,0,0,0.4286,2,1,1,0.1429,0.5714,0.3333,2,3,1,1,1
hc_c38h22_0pent_1279,LLAAa()L,LLAAA()L,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,2,3,1,1,0
hc_c38h22_0pent_128,AAa()AA(),AAA()AA(),9,2,0,0,0.0000,0,10,0,0.5714,0.7143,0.2500,2,5,1,1,0
hc_c38h22_0pent_1280,LLAAaLA,LLAAALA,9,0,0,0,0.4286,2,1,1,0.4286,0.5714,0.3333,2,3,1,1,1
hc_c38h22_0pent_1281,LLAAaLa,LLAAALA,9,0,0,0,0.4286,2,1,1,0.2857,0.5714,1.0000,2,3,1,1,1
hc_c38h22_0pent_1282,LLAAa()a,LLAAA()A,9,1,0,0,0.2857,2,1,0,0.2857,0.5714,1.0000,2,4,1,0,0
hc_c38h22_0pent_1283,LLAAaaA,LLAAAAA,9,0,0,0,0.2857,2,1,0,0.4286,0.7143,0.6667,2,5,1,1,0
hc_c38h22_0pent_1284,LLAAaaL,LLAAAAL,9,0,0,0,0.4286,2,1,1,0.2857,0.5714,1.0000,2,4,1,0,0
hc_c38h22_0pent_1285,LLAAaaa,LLAAAAA,9,0,0,0,0.2857,2,1,0,0.2857,0.7143,0.6667,3,5,1,2,0
hc_c38h22_0pent_1286,LLALAAA,LLALAAA,9,0,0,1,0.4286,2,1,1,0.5714,0.5714,0.0000,3,3,1,1,1
hc_c38h22_0pent_1287,LLALAAL,LLALAAL,9,0,0,1,0.5714,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1288,LLALAAa,LLALAAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,2,3,1,1,1
hc_c38h22_0pent_1289,LLALALA,LLALALA,9,0,0,2,0.5714,2,1,1,0.4286,0.4286,0.0000,1,1,3,0,0
hc_c38h22_0pent_1290,LLALALL,LLALALL,9,0,0,2,0.7143,2,2,1,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1291,LLALALa,LLALALA,9,0,0,2,0.5714,2,1,1,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1292,LLALA()L,LLALA()L,9,1,0,1,0.5714,2,1,1,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1293,LLA()LAL,LLA()LAL,9,1,0,1,0.5714,2,1,1,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1294,LALALLa,LALALLA,9,0,0,2,0.5714,2,1,1,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1295,LALALLA,LALALLA,9,0,0,2,0.5714,2,1,1,0.4286,0.4286,0.0000,1,1,3,0,0
hc_c38h22_0pent_1296,LLA()LAa,LLA()LAA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1297,ALLaLaA,ALLALAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,1,2,1,0,1
hc_c38h22_0pent_1298,ALLALAa,ALLALAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,1,2,1,0,1
hc_c38h22_0pent_1299,LLALAA(),LLALAA(),9,1,0,1,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_130,AAaA()aa,AAAA()AA,9,1,0,0,0.0000,0,9,0,0.4286,0.8571,1.0000,2,6,1,1,0
hc_c38h22_0pent_1300,LLALAaA,LLALAAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,1,3,1,0,1
hc_c38h22_0pent_1301,LLALAaL,LLALAAL,9,0,0,1,0.5714,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1302,LLALAaa,LLALAAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,2,3,1,1,1
hc_c38h22_0pent_1303,LLA()LLA,LLA()LLA,9,1,0,0,0.5714,2,2,0,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1304,LLA()LLa,LLA()LLA,9,1,0,0,0.5714,2,2,0,0.1429,0.2857,1.0000,1,1,2,0,0
hc_c38h22_0pent_1305,LLA(A)LL,LLA(A)LL,9,1,0,0,0.5714,2,2,0,0.2857,0.2857,0.0000,2,2,1,1,1
hc_c38h22_0pent_1306,LLA(L)LL,LLA(L)LL,9,1,0,0,0.7143,2,2,1,0.1429,0.1429,0.0000,1,1,1,0,0
hc_c38h22_0pent_1307,LLALLaa,LLALLAA,9,0,0,1,0.5714,2,2,0,0.1429,0.4286,0.5000,2,2,1,1,1
hc_c38h22_0pent_1308,LLALLaL,LLALLAL,9,0,0,2,0.7143,2,2,1,0.1429,0.2857,1.0000,1,1,2,0,0
hc_c38h22_0pent_1309,LLALLaA,LLALLAA,9,0,0,1,0.5714,2,2,0,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_131,AA(a)Aaa,AA(A)AAA,9,1,0,0,0.0000,0,9,0,0.4286,0.8571,1.0000,3,5,1,2,3
hc_c38h22_0pent_1310,LLALLA(),LLALLA(),9,1,0,1,0.5714,2,2,0,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1311,ALLALLa,ALLALLA,9,0,0,1,0.5714,2,2,0,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1312,ALLaLLA,ALLALLA,9,0,0,1,0.5714,2,2,0,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1313,ALLALLA,ALLALLA,9,0,0,1,0.5714,2,2,0,0.4286,0.4286,0.0000,1,1,3,0,0
hc_c38h22_0pent_1314,LLALLAa,LLALLAA,9,0,0,1,0.5714,2,2,0,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1315,LLALLAL,LLALLAL,9,0,0,2,0.7143,2,2,1,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1316,LLALLAA,LLALLAA,9,0,0,1,0.5714,2,2,0,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1317,ALaLLAA,ALALLAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,2,2,1,1,1
hc_c38h22_0pent_1318,A()LLALa,A()LLALA,9,1,0,1,0.4286,2,1,1,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1319,ALLaLA(),ALLALA(),9,1,0,1,0.4286,2,1,1,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_132,AA()aA()a,AA()AA()A,9,2,0,0,0.0000,0,10,0,0.4286,0.7143,0.6667,2,5,1,1,0
hc_c38h22_0pent_1320,ALLaLAA,ALLALAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,2,2,1,1,1
hc_c38h22_0pent_1321,ALLALA(),ALLALA(),9,1,0,1,0.4286,2,1,1,0.4286,0.4286,0.0000,1,1,3,0,0
hc_c38h22_0pent_1322,ALLALaa,ALLALAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,2,2,1,1,1
hc_c38h22_0pent_1323,ALaLLaa,ALALLAA,9,0,0,1,0.4286,2,1,1,0.1429,0.5714,0.3333,2,2,1,1,1
hc_c38h22_0pent_1324,LLALA()A,LLALA()A,9,1,0,1,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1325,LLALA()a,LLALA()A,9,1,0,1,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1326,LLALa()A,LLALA()A,9,1,0,1,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1327,LLALa()a,LLALA()A,9,1,0,1,0.4286,2,1,1,0.1429,0.4286,0.5000,2,2,1,1,1
hc_c38h22_0pent_1328,LLALaAA,LLALAAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,2,3,1,1,1
hc_c38h22_0pent_1329,LLALaAL,LLALAAL,9,0,0,1,0.5714,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_133,AAAaA()a,AAAAA()A,9,1,0,0,0.0000,0,9,0,0.5714,0.8571,0.5000,3,6,1,1,0
hc_c38h22_0pent_1330,LLALaAa,LLALAAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,1,3,1,0,1
hc_c38h22_0pent_1331,LLALaA(),LLALAA(),9,1,0,1,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1332,LLA()LaA,LLA()LAA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1333,ALLaLAa,ALLALAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,1,2,1,0,1
hc_c38h22_0pent_1334,ALLALaA,ALLALAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,1,2,1,0,1
hc_c38h22_0pent_1335,LLA()LaL,LLA()LAL,9,1,0,1,0.5714,2,1,1,0.1429,0.2857,1.0000,1,1,2,0,0
hc_c38h22_0pent_1336,LALaLLA,LALALLA,9,0,0,2,0.5714,2,1,1,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1337,LALaLLa,LALALLA,9,0,0,2,0.5714,2,1,1,0.1429,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1338,LLALa()L,LLALA()L,9,1,0,1,0.5714,2,1,1,0.1429,0.2857,1.0000,1,1,2,0,0
hc_c38h22_0pent_1339,LLALaLA,LLALALA,9,0,0,2,0.5714,2,1,1,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_134,A()A()a()A,A()A()A()A,9,3,0,0,0.0000,0,11,0,0.4286,0.5714,0.3333,2,4,1,1,0
hc_c38h22_0pent_1340,LLALaLL,LLALALL,9,0,0,2,0.7143,2,2,1,0.1429,0.2857,1.0000,1,1,2,0,0
hc_c38h22_0pent_1341,LLALaLa,LLALALA,9,0,0,2,0.5714,2,1,1,0.1429,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1342,LLALaaA,LLALAAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,2,3,1,1,1
hc_c38h22_0pent_1343,LLALaaL,LLALAAL,9,0,0,1,0.5714,2,1,1,0.1429,0.4286,0.5000,2,2,1,1,1
hc_c38h22_0pent_1344,LLALaaa,LLALAAA,9,0,0,1,0.4286,2,1,1,0.1429,0.5714,0.3333,3,3,1,1,1
hc_c38h22_0pent_1345,LA()LLaa,LA()LLAA,9,1,0,0,0.4286,2,1,1,0.1429,0.4286,0.5000,2,2,1,1,1
hc_c38h22_0pent_1346,LA()LLA(),LA()LLA(),9,2,0,0,0.4286,2,1,1,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1347,ALLa()La,ALLA()LA,9,1,0,0,0.4286,2,1,1,0.1429,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1348,ALLa()LA,ALLA()LA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1349,LA(a)LLa,LA(A)LLA,9,1,0,0,0.4286,2,1,1,0.1429,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_135,AAa()A()a,AAA()A()A,9,2,0,0,0.0000,0,10,0,0.4286,0.7143,0.6667,2,5,1,1,0
hc_c38h22_0pent_1350,LA(A)LLa,LA(A)LLA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,2,2,1,1,1
hc_c38h22_0pent_1351,ALLA()LA,ALLA()LA,9,1,0,0,0.4286,2,1,1,0.4286,0.4286,0.0000,1,1,3,0,0
hc_c38h22_0pent_1352,ALLA()La,ALLA()LA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1353,LA(a)LLA,LA(A)LLA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1354,LA(A)LLA,LA(A)LLA,9,1,0,0,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1355,LA()LLAA,LA()LLAA,9,1,0,0,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1356,LLA()LAA,LLA()LAA,9,1,0,0,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1357,LLA(A)LA,LLA(A)LA,9,1,0,0,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1358,LLA(a)LA,LLA(A)LA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1359,LLA(A)La,LLA(A)LA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,2,2,1,1,1
hc_c38h22_0pent_136,AA(a)A()a,AA(A)A()A,9,2,0,0,0.0000,0,10,0,0.4286,0.7143,0.6667,3,4,1,2,3
hc_c38h22_0pent_1360,LLA(a)La,LLA(A)LA,9,1,0,0,0.4286,2,1,1,0.1429,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1361,LLA()LA(),LLA()LA(),9,2,0,0,0.4286,2,1,1,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1362,LLA()Laa,LLA()LAA,9,1,0,0,0.4286,2,1,1,0.1429,0.4286,0.5000,2,2,1,1,1
hc_c38h22_0pent_1363,LLA(L)aa,LLA(L)AA,9,1,0,0,0.4286,2,1,1,0.1429,0.4286,0.5000,2,3,1,1,0
hc_c38h22_0pent_1364,LLA(L)aL,LLA(L)AL,9,1,0,0,0.5714,2,1,1,0.1429,0.2857,1.0000,1,2,1,0,0
hc_c38h22_0pent_1365,LLA(L)aA,LLA(L)AA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,1,3,1,0,0
hc_c38h22_0pent_1366,LLA(L)A(),LLA(L)A(),9,2,0,0,0.4286,2,1,1,0.2857,0.2857,0.0000,2,2,1,0,0
hc_c38h22_0pent_1367,LA(L)LLA,LA(L)LLA,9,1,0,0,0.5714,2,1,1,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1368,LLA(L)LA,LLA(L)LA,9,1,0,0,0.5714,2,1,1,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1369,LLA(L)La,LLA(L)LA,9,1,0,0,0.5714,2,1,1,0.1429,0.2857,1.0000,1,1,2,0,0
hc_c38h22_0pent_137,AA()A()aA,AA()A()AA,9,2,0,0,0.0000,0,10,0,0.5714,0.7143,0.2500,3,5,1,1,0
hc_c38h22_0pent_1370,LLA(L)Aa,LLA(L)AA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,2,3,1,1,0
hc_c38h22_0pent_1371,LLA(L)AL,LLA(L)AL,9,1,0,0,0.5714,2,1,1,0.2857,0.2857,0.0000,2,2,1,0,0
hc_c38h22_0pent_1372,LLA(L)AA,LLA(L)AA,9,1,0,0,0.4286,2,1,1,0.4286,0.4286,0.0000,3,3,1,0,0
hc_c38h22_0pent_1373,LALLaaa,LALLAAA,9,0,0,1,0.4286,2,1,1,0.1429,0.5714,0.3333,3,3,1,1,1
hc_c38h22_0pent_1374,LALLaaL,LALLAAL,9,0,0,1,0.5714,2,1,1,0.1429,0.4286,0.5000,2,2,1,1,1
hc_c38h22_0pent_1375,LALLaaA,LALLAAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,2,3,1,1,1
hc_c38h22_0pent_1376,LALLaLa,LALLALA,9,0,0,2,0.5714,2,1,1,0.1429,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1377,LALLaLA,LALLALA,9,0,0,2,0.5714,2,1,1,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1378,LALLa()L,LALLA()L,9,1,0,1,0.5714,2,1,1,0.1429,0.2857,1.0000,1,1,2,0,0
hc_c38h22_0pent_1379,ALALLaA,ALALLAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,1,2,1,0,1
hc_c38h22_0pent_138,AA()a()Aa,AA()A()AA,9,2,0,0,0.0000,0,10,0,0.4286,0.7143,0.6667,2,5,1,1,0
hc_c38h22_0pent_1380,ALaLLAa,ALALLAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,1,2,1,0,1
hc_c38h22_0pent_1381,LA()LLaA,LA()LLAA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1382,LALLaA(),LALLAA(),9,1,0,1,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1383,LALLaAa,LALLAAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,1,3,1,0,1
hc_c38h22_0pent_1384,LALLaAA,LALLAAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,2,3,1,1,1
hc_c38h22_0pent_1385,A()LLALA,A()LLALA,9,1,0,1,0.4286,2,1,1,0.4286,0.4286,0.0000,1,1,3,0,0
hc_c38h22_0pent_1386,LALLa()a,LALLA()A,9,1,0,1,0.4286,2,1,1,0.1429,0.4286,0.5000,2,2,1,1,1
hc_c38h22_0pent_1387,LALLa()A,LALLA()A,9,1,0,1,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1388,LALLA()a,LALLA()A,9,1,0,1,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_1389,LALLA()A,LALLA()A,9,1,0,1,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_139,A()A(a)aA,A()A(A)AA,9,2,0,0,0.0000,0,10,0,0.4286,0.7143,0.6667,2,4,1,1,3
hc_c38h22_0pent_1390,ALLaLaa,ALLALAA,9,0,0,1,0.4286,2,1,1,0.1429,0.5714,0.3333,2,2,1,1,1
hc_c38h22_0pent_1391,ALALLaa,ALALLAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,2,2,1,1,1
hc_c38h22_0pent_1392,ALLALAA,ALLALAA,9,0,0,1,0.4286,2,1,1,0.5714,0.5714,0.0000,2,2,1,1,1
hc_c38h22_0pent_1393,ALALLAA,ALALLAA,9,0,0,1,0.4286,2,1,1,0.5714,0.5714,0.0000,2,2,1,1,1
hc_c38h22_0pent_1394,LALLAaa,LALLAAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,2,3,1,1,1
hc_c38h22_0pent_1395,LALLAaA,LALLAAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,1,3,1,0,1
hc_c38h22_0pent_1396,LALLAA(),LALLAA(),9,1,0,1,0.4286,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1397,ALALLAa,ALALLAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,1,2,1,0,1
hc_c38h22_0pent_1398,ALaLLaA,ALALLAA,9,0,0,1,0.4286,2,1,1,0.2857,0.5714,1.0000,1,2,1,0,1
hc_c38h22_0pent_1399,LA()LLAa,LA()LLAA,9,1,0,0,0.4286,2,1,1,0.2857,0.4286,0.5000,1,2,1,0,1
hc_c38h22_0pent_14,AAA(A)aa,AAA(A)AA,9,1,0,0,0.0000,0,9,0,0.5714,0.8571,0.5000,4,5,1,3,4
hc_c38h22_0pent_140,A()A(A)aA,A()A(A)AA,9,2,0,0,0.0000,0,10,0,0.5714,0.7143,0.2500,3,4,1,2,3
hc_c38h22_0pent_1400,LALLALA,LALLALA,9,0,0,2,0.5714,2,1,1,0.4286,0.4286,0.0000,1,1,3,0,0
hc_c38h22_0pent_1401,LALLALa,LALLALA,9,0,0,2,0.5714,2,1,1,0.2857,0.4286,0.5000,1,1,3,0,0
hc_c38h22_0pent_1402,LALLA()L,LALLA()L,9,1,0,1,0.5714,2,1,1,0.2857,0.2857,0.0000,1,1,2,0,0
hc_c38h22_0pent_1403,LALLAAa,LALLAAA,9,0,0,1,0.4286,2,1,1,0.4286,0.5714,0.3333,2,3,1,1,1
hc_c38h22_0pent_1404,LALLAAL,LALLAAL,9,0,0,1,0.5714,2,1,1,0.4286,0.4286,0.0000,2,2,1,1,1
hc_c38h22_0pent_1405,LALLAAA,LALLAAA,9,0,0,1,0.4286,2,1,1,0.5714,0.5714,0.0000,3,3,1,1,1
hc_c38h22_0pent_1406,AAALLaA,AAALLAA,9,0,0,0,0.2857,2,1,0,0.5714,0.7143,0.2500,3,3,1,1,2
