molecule_id,annulation,n_branches,longest_A,longest_L,longest_L_degeneracy,second_longest_L,ratio_L,n_LAL,n_rings
hc_c42h24_0pent_662,aa(a)a()aa,2,6,0,0,0,0.0,0,10
hc_c42h24_0pent_1208,la()alaaa,1,3,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_5643,llaa()all,1,3,2,2,0,0.5714285714285714,0,10
hc_c42h24_0pent_4597,allaaa()l,1,3,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_455,aa(a)a()aa,2,6,0,0,0,0.0,0,10
hc_c42h24_0pent_2158,aaa(l)laa,1,3,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_1172,laalaaaa,0,4,1,2,0,0.25,0,10
hc_c42h24_0pent_885,laaa()laa,1,3,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_5030,lla(a)lal,1,2,2,1,1,0.5714285714285714,1,10
hc_c38h22_0pent_1069,laaa()la,1,3,1,2,0,0.3333333333333333,0,9
hc_c42h24_0pent_2544,alalaa()l,1,2,1,3,0,0.42857142857142855,1,10
hc_c42h24_0pent_3850,la()alala,1,2,1,3,0,0.42857142857142855,1,10
hc_c42h24_0pent_1499,aaa()aaal,1,6,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_999,aaaaaala,0,6,1,1,0,0.125,0,10
hc_c42h24_0pent_639,aaaa()aaa,1,7,0,0,0,0.0,0,10
hc_c38h22_0pent_753,aaalaaa,0,3,1,1,0,0.14285714285714285,0,9
hc_c42h24_0pent_3259,laaaalaa,0,4,1,2,0,0.25,0,10
hc_c42h24_0pent_4368,aaaaaaal,0,7,1,1,0,0.125,0,10
hc_c42h24_0pent_4069,aaaaalaa,0,5,1,1,0,0.125,0,10
hc_c42h24_0pent_5295,aaalla()l,1,3,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_1962,alalaaal,0,3,1,3,0,0.375,1,10
hc_c42h24_0pent_2784,aa()a()laa,2,3,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_527,aa()aaa()a,2,6,0,0,0,0.0,0,10
hc_c38h22_0pent_726,aaaalaa,0,4,1,1,0,0.14285714285714285,0,9
hc_c42h24_0pent_6282,aala()lll,1,2,3,1,1,0.5714285714285714,0,10
hc_c42h24_0pent_5971,allaalaa,0,2,2,1,1,0.375,0,10
hc_c42h24_0pent_6366,a()a(l)lll,2,2,3,1,1,0.6666666666666666,0,10
hc_c42h24_0pent_5412,aaalla()l,1,3,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_5729,llaaaaaa,0,6,2,1,0,0.25,0,10
hc_c42h24_0pent_4358,alaaaala,0,4,1,2,0,0.25,0,10
hc_c38h22_0pent_1370,lla(l)aa,1,2,2,1,1,0.5,0,9
hc_c42h24_0pent_3217,aaa()aa()l,2,5,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_2444,a()lalala,1,1,1,3,0,0.42857142857142855,2,10
hc_c42h24_0pent_4699,lla(a)ala,1,3,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_4899,llaa(a)aa,1,5,2,1,0,0.2857142857142857,0,10
hc_c42h24_0pent_3176,aaa(al)aa,1,4,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_2229,lalaaala,0,3,1,3,0,0.375,1,10
hc_c38h22_0pent_868,a()a(a)al,2,4,1,1,0,0.2,0,9
hc_c42h24_0pent_4367,laaaaaal,0,6,1,2,0,0.25,0,10
hc_c42h24_0pent_4812,alla(a)aa,1,4,2,1,0,0.2857142857142857,0,10
hc_c42h24_0pent_4677,alla()all,1,2,2,2,0,0.5714285714285714,0,10
hc_c42h24_0pent_30,aaaaa()aa,1,7,0,0,0,0.0,0,10
hc_c42h24_0pent_3943,aaaa()ala,1,5,1,1,0,0.14285714285714285,0,10
hc_c34h20_0pent_369,allala,0,1,2,1,1,0.5,1,8
hc_c42h24_0pent_169,aa()aaaaa,1,7,0,0,0,0.0,0,10
hc_c42h24_0pent_6550,aa(a)llla,1,3,3,1,0,0.42857142857142855,0,10
hc_c42h24_0pent_4102,laaalaa(),1,3,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_5020,allala()l,1,1,2,1,1,0.5714285714285714,1,10
hc_c42h24_0pent_5356,alla(l)aa,1,2,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_3775,laalaaal,0,3,1,3,0,0.375,0,10
hc_c42h24_0pent_5213,allalala,0,1,2,1,1,0.5,2,10
hc_c42h24_0pent_6024,allaa()aa,1,4,2,1,0,0.2857142857142857,0,10
hc_c38h22_0pent_988,laa()laa,1,2,1,2,0,0.3333333333333333,0,9
hc_c42h24_0pent_5081,alla()lla,1,1,2,2,0,0.5714285714285714,0,10
hc_c42h24_0pent_708,aaaa(a)aa,1,7,0,0,0,0.0,0,10
hc_c42h24_0pent_5256,llalaaal,0,3,2,1,1,0.5,1,10
hc_c38h22_0pent_1023,aa()aaal,1,5,1,1,0,0.16666666666666666,0,9
hc_c34h20_0pent_342,llaaaa,0,4,2,1,0,0.3333333333333333,0,8
hc_c34h20_0pent_116,aaa(l)a,1,3,1,1,0,0.2,0,8
hc_c42h24_0pent_3229,a()aaaa()l,2,5,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_2690,aala(a)aa,1,4,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_1258,aaa(a)la(),2,4,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_1222,a()laalaa,1,2,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_1898,aa()a(l)la,2,3,1,2,0,0.3333333333333333,0,10
hc_c42h24_0pent_3045,laaa()laa,1,3,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_1806,aaa()la()l,2,3,1,2,0,0.3333333333333333,0,10
hc_c34h20_0pent_129,aaaaal,0,5,1,1,0,0.16666666666666666,0,8
hc_c38h22_0pent_708,aala()a(),2,2,1,1,0,0.2,0,9
hc_c42h24_0pent_4795,allaalaa,0,2,2,1,1,0.375,0,10
hc_c30h18_0pent_41,ala()l,1,1,1,2,0,0.5,0,7
hc_c42h24_0pent_1400,aaaaaala,0,6,1,1,0,0.125,0,10
hc_c42h24_0pent_317,aa()aaaaa,1,7,0,0,0,0.0,0,10
hc_c42h24_0pent_2037,lala()aaa,1,4,1,2,0,0.2857142857142857,1,10
hc_c42h24_0pent_4793,allaalaa,0,2,2,1,1,0.375,0,10
hc_c42h24_0pent_4558,llaaaaaa,0,6,2,1,0,0.25,0,10
hc_c42h24_0pent_5003,llalaaaa,0,4,2,1,1,0.375,1,10
hc_c42h24_0pent_1449,aa()aalaa,1,4,1,1,0,0.14285714285714285,0,10
hc_c38h22_0pent_1226,llaala(),1,2,2,1,1,0.5,0,9
hc_c42h24_0pent_4439,aa()a(a)la,2,4,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_3623,alaalala,0,2,1,3,0,0.375,1,10
hc_c34h20_0pent_179,lalaa(),1,2,1,2,0,0.4,1,8
hc_c38h22_0pent_1227,llaalaa,0,2,2,1,1,0.42857142857142855,0,9
hc_c42h24_0pent_2789,aa()alaaa,1,3,1,1,0,0.14285714285714285,0,10
hc_c38h22_0pent_929,aa()aala,1,4,1,1,0,0.16666666666666666,0,9
hc_c42h24_0pent_4670,allaalaa,0,2,2,1,1,0.375,0,10
hc_c42h24_0pent_4537,a()a(l)aaa,2,3,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_4614,a()llaaal,1,3,2,1,1,0.42857142857142855,0,10
hc_c38h22_0pent_1568,aaaalll,0,4,3,1,0,0.42857142857142855,0,9
hc_c42h24_0pent_1790,aala()laa,1,2,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_4730,llaa(l)aa,1,2,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_6457,aaaaalll,0,5,3,1,0,0.375,0,10
hc_c42h24_0pent_5959,lla(a)ala,1,3,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_5099,la()llall,1,1,2,2,1,0.7142857142857143,1,10
hc_c38h22_0pent_1229,llaalaa,0,2,2,1,1,0.42857142857142855,0,9
hc_c42h24_0pent_6173,lla()aaaa,1,5,2,1,0,0.2857142857142857,0,10
hc_c42h24_0pent_5119,aallalla,0,2,2,2,0,0.5,1,10
hc_c42h24_0pent_4426,a()a(a)laa,2,3,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_4068,aaaaalaa,0,5,1,1,0,0.125,0,10
hc_c38h22_0pent_1039,aaaaaal,0,6,1,1,0,0.14285714285714285,0,9
hc_c42h24_0pent_3949,aaaa()ala,1,5,1,1,0,0.14285714285714285,0,10
hc_c34h20_0pent_4,aa()a()a,2,4,0,0,0,0.0,0,8
hc_c30h18_0pent_75,laala,0,2,1,2,0,0.4,0,7
hc_c42h24_0pent_1370,aaaala()a,1,4,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_3375,a()a()a(l)a,3,3,1,1,0,0.2,0,10
hc_c42h24_0pent_1609,aaaa(l)a(),2,4,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_5716,llaa()aaa,1,5,2,1,0,0.2857142857142857,0,10
hc_c38h22_0pent_176,aaaaaaa,0,7,0,0,0,0.0,0,9
hc_c42h24_0pent_1843,ala(l)aaa,1,3,1,2,0,0.2857142857142857,0,10
hc_c34h20_0pent_58,a()aaa(),2,4,0,0,0,0.0,0,8
hc_c42h24_0pent_3453,aa()a()ala,2,4,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_1923,la(l)aaal,1,3,1,3,0,0.42857142857142855,0,10
hc_c38h22_0pent_861,laaaala,0,4,1,2,0,0.2857142857142857,0,9
hc_c42h24_0pent_842,alaaa()la,1,3,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_244,aaa(a)aaa,1,7,0,0,0,0.0,0,10
hc_c42h24_0pent_4988,llalaaal,0,3,2,1,1,0.5,1,10
hc_c42h24_0pent_2459,la()lalaa,1,2,1,3,0,0.42857142857142855,1,10
hc_c42h24_0pent_1321,aaaa(l)aa,1,4,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_6494,laalllal,0,2,3,1,1,0.625,1,10
hc_c42h24_0pent_2088,aala()lal,1,2,1,3,0,0.42857142857142855,1,10
hc_c42h24_0pent_5606,llaa(a)a(),2,4,2,1,0,0.3333333333333333,0,10
hc_c42h24_0pent_2704,aa()alaaa,1,3,1,1,0,0.14285714285714285,0,10
hc_c38h22_0pent_1641,alaalll,0,2,3,1,1,0.5714285714285714,0,9
hc_c42h24_0pent_4295,aaaaalaa,0,5,1,1,0,0.125,0,10
hc_c38h22_0pent_710,aala()aa,1,3,1,1,0,0.16666666666666666,0,9
hc_c42h24_0pent_1989,lalaa()la,1,2,1,3,0,0.42857142857142855,1,10
hc_c34h20_0pent_226,laaala,0,3,1,2,0,0.3333333333333333,0,8
hc_c42h24_0pent_3962,aa()a()aal,2,5,1,1,0,0.16666666666666666,0,10
hc_c34h20_0pent_245,a()aa()l,2,3,1,1,0,0.25,0,8
hc_c42h24_0pent_341,aaa(a)aaa,1,7,0,0,0,0.0,0,10
hc_c38h22_0pent_666,alalaaa,0,3,1,2,0,0.2857142857142857,1,9
hc_c42h24_0pent_4780,aaallaal,0,3,2,1,1,0.375,0,10
hc_c38h22_0pent_1060,a()aa()al,2,4,1,1,0,0.2,0,9
hc_c42h24_0pent_5577,aallaa()a,1,3,2,1,0,0.2857142857142857,0,10
hc_c38h22_0pent_307,alaa()la,1,2,1,2,0,0.3333333333333333,0,9
hc_c42h24_0pent_5853,alla()a()l,2,2,2,1,1,0.5,0,10
hc_c42h24_0pent_726,aaa(aa)aa,1,7,0,0,0,0.0,0,10
hc_c42h24_0pent_5055,llalaaaa,0,4,2,1,1,0.375,1,10
hc_c42h24_0pent_894,aaaa(a)la,1,5,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_5715,allaaaaa,0,5,2,1,0,0.25,0,10
hc_c42h24_0pent_5134,aaallall,0,3,2,2,0,0.5,1,10
hc_c42h24_0pent_4163,ala()a()al,2,3,1,2,0,0.3333333333333333,0,10
hc_c42h24_0pent_605,aa(a)aaaa,1,7,0,0,0,0.0,0,10
hc_c34h20_0pent_155,lalaaa,0,3,1,2,0,0.3333333333333333,1,8
hc_c42h24_0pent_5493,lalla()la,1,1,2,1,1,0.5714285714285714,1,10
hc_c42h24_0pent_3606,laalalal,0,2,1,4,0,0.5,2,10
hc_c38h22_0pent_676,lalaaaa,0,4,1,2,0,0.2857142857142857,1,9
hc_c42h24_0pent_2209,la(a)laaa,1,3,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_3089,aa()a(a)al,2,5,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_2219,alalaaaa,0,4,1,2,0,0.25,1,10
hc_c42h24_0pent_3980,aaaaaala,0,6,1,1,0,0.125,0,10
hc_c42h24_0pent_5670,allaa()al,1,3,2,1,1,0.42857142857142855,0,10
hc_c42h24_0pent_120,aaa()aaaa,1,7,0,0,0,0.0,0,10
hc_c42h24_0pent_3954,aaaaa()la,1,5,1,1,0,0.14285714285714285,0,10
hc_c38h22_0pent_1064,laaalaa,0,3,1,2,0,0.2857142857142857,0,9
hc_c38h22_0pent_163,aaa()aaa,1,6,0,0,0,0.0,0,9
hc_c38h22_0pent_947,laa(l)al,1,2,1,3,0,0.5,0,9
hc_c42h24_0pent_1477,aaaaaaal,0,7,1,1,0,0.125,0,10
hc_c42h24_0pent_140,aaa()aaaa,1,7,0,0,0,0.0,0,10
hc_c38h22_0pent_1603,ala()lll,1,1,3,1,1,0.6666666666666666,0,9
hc_c42h24_0pent_4196,aaa(l)aal,1,3,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_5885,llaa(l)aa,1,2,2,1,1,0.42857142857142855,0,10
hc_c38h22_0pent_431,aaa(a)al,1,5,1,1,0,0.16666666666666666,0,9
hc_c42h24_0pent_1032,la()a(a)la,2,3,1,2,0,0.3333333333333333,0,10
hc_c42h24_0pent_4557,aaaalaaa,0,4,1,1,0,0.125,0,10
hc_c42h24_0pent_1122,laa(l)aal,1,2,1,3,0,0.42857142857142855,0,10
hc_c42h24_0pent_4105,laa()ala(),2,3,1,2,0,0.3333333333333333,0,10
hc_c38h22_0pent_302,aalaa()l,1,2,1,2,0,0.3333333333333333,0,9
hc_c42h24_0pent_5685,lla(a)aaa,1,5,2,1,0,0.2857142857142857,0,10
hc_c42h24_0pent_1265,aaaa(a)la,1,5,1,1,0,0.14285714285714285,0,10
hc_c38h22_0pent_273,aaaaala,0,5,1,1,0,0.14285714285714285,0,9
hc_c42h24_0pent_2669,aala()a()a,2,3,1,1,0,0.16666666666666666,0,10
hc_c38h22_0pent_1473,allaa()a,1,3,2,1,0,0.3333333333333333,0,9
hc_c38h22_0pent_17,aaa()aaa,1,6,0,0,0,0.0,0,9
hc_c38h22_0pent_1417,allaa()a,1,3,2,1,0,0.3333333333333333,0,9
hc_c38h22_0pent_1648,aa()llla,1,2,3,1,0,0.5,0,9
hc_c42h24_0pent_6193,aaaallla,0,4,3,1,0,0.375,0,10
hc_c42h24_0pent_2032,lalaaa()a,1,4,1,2,0,0.2857142857142857,1,10
hc_c34h20_0pent_149,aala()l,1,2,1,2,0,0.4,0,8
hc_c38h22_0pent_937,a()aa()la,2,3,1,1,0,0.2,0,9
hc_c42h24_0pent_6506,ala()alll,1,2,3,1,1,0.5714285714285714,0,10
hc_c42h24_0pent_6224,la()a()lll,2,2,3,1,1,0.6666666666666666,0,10
hc_c42h24_0pent_2730,a()a(a)ala,2,4,1,1,0,0.16666666666666666,0,10
hc_c38h22_0pent_1073,laaalaa,0,3,1,2,0,0.2857142857142857,0,9
hc_c42h24_0pent_812,alaa(a)al,1,4,1,2,0,0.2857142857142857,0,10
hc_c38h22_0pent_1063,laaa(l)a,1,3,1,2,0,0.3333333333333333,0,9
hc_c42h24_0pent_6211,a()laalll,1,2,3,1,1,0.5714285714285714,0,10
hc_c42h24_0pent_3626,alaa()lal,1,2,1,3,0,0.42857142857142855,1,10
hc_c38h22_0pent_906,aa(a)ala,1,4,1,1,0,0.16666666666666666,0,9
hc_c38h22_0pent_470,aaaaaal,0,6,1,1,0,0.14285714285714285,0,9
hc_c42h24_0pent_5089,lla(l)lla,1,1,2,2,1,0.7142857142857143,0,10
hc_c38h22_0pent_716,aala()aa,1,3,1,1,0,0.16666666666666666,0,9
hc_c42h24_0pent_967,aaaaaa()l,1,6,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_5149,aallalaa,0,2,2,1,1,0.375,1,10
hc_c38h22_0pent_1423,allaa()a,1,3,2,1,0,0.3333333333333333,0,9
hc_c42h24_0pent_1853,alaa(l)la,1,2,1,3,0,0.42857142857142855,0,10
hc_c42h24_0pent_3141,aa()aalaa,1,4,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_4681,lla(a)all,1,3,2,2,0,0.5714285714285714,0,10
hc_c42h24_0pent_3137,aaaa()ala,1,5,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_849,la()aa()la,2,3,1,2,0,0.3333333333333333,0,10
hc_c42h24_0pent_1799,ala()laaa,1,3,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_4165,ala(a)aal,1,4,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_6344,aaalalll,0,3,3,1,1,0.5,1,10
hc_c42h24_0pent_3304,aaa(a())al,2,5,1,1,0,0.16666666666666666,0,10
hc_c42h24_0pent_840,alaaa(l)a,1,3,1,2,0,0.2857142857142857,0,10
hc_c42h24_0pent_4834,aallaaaa,0,4,2,1,0,0.25,0,10
hc_c38h22_0pent_1197,aaaalaa,0,4,1,1,0,0.14285714285714285,0,9
hc_c42h24_0pent_1710,la()aaa()l,2,4,1,2,0,0.3333333333333333,0,10
hc_c38h22_0pent_983,alaalaa,0,2,1,2,0,0.2857142857142857,0,9
hc_c42h24_0pent_3630,lalaalal,0,2,1,4,0,0.5,2,10
hc_c42h24_0pent_5952,allaa()ll,1,2,2,2,0,0.5714285714285714,0,10
hc_c42h24_0pent_5332,lla(l)a()a,2,2,2,1,1,0.5,0,10
hc_c34h20_0pent_394,allaal,0,2,2,1,1,0.5,0,8
hc_c38h22_0pent_1276,lla()aal,1,3,2,1,1,0.5,0,9
hc_c42h24_0pent_1404,aa()aalaa,1,4,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_2105,aala()lal,1,2,1,3,0,0.42857142857142855,1,10
hc_c42h24_0pent_6373,lalllaaa,0,3,3,1,1,0.5,1,10
hc_c42h24_0pent_5345,lla(la)la,1,1,2,1,1,0.5714285714285714,0,10
hc_c42h24_0pent_6604,alllla()l,1,1,4,1,1,0.7142857142857143,0,10
hc_c38h22_0pent_978,la()alaa,1,2,1,2,0,0.3333333333333333,0,9
hc_c42h24_0pent_1574,a()a()a()al,3,4,1,1,0,0.2,0,10
hc_c34h20_0pent_95,aaaaal,0,5,1,1,0,0.16666666666666666,0,8
hc_c42h24_0pent_2595,aaaaalaa,0,5,1,1,0,0.125,0,10
