molecule_id smiles
hc_c46h26_0pent_19598 c1ccc2cc3cc4c(ccc5c6ccccc6c6c(ccc7ccc8c(ccc9ccc%10ccccc%10c98)c76)c45)cc3cc2c1
hc_c46h26_0pent_7042 c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1cc2c(ccc4ccc5cc6ccc7ccccc7c6cc5c42)cc31
hc_c46h26_0pent_9088 c1ccc2cc3c(ccc4cc5c6ccccc6c6cc7c8ccccc8c8cc9ccccc9cc8c7cc6c5cc43)cc2c1
hc_c46h26_0pent_18524 c1ccc2cc3cc4c(ccc5c6ccccc6c6cc7c(ccc8c7ccc7ccc9ccccc9c78)cc6c45)cc3cc2c1
hc_c46h26_0pent_9714 c1ccc2cc3c(ccc4cc5c6ccccc6c6ccc7ccc8c9ccccc9c9ccccc9c8c7c6c5cc43)cc2c1
hc_c42h24_0pent_1343 c1ccc2c(c1)ccc1c3cc4ccc5ccc6c7c8ccccc8ccc7c7ccccc7c6c5c4cc3ccc21
hc_c42h24_0pent_1657 c1ccc2cc3c(ccc4ccc5c6c7ccccc7ccc6c6ccc7ccc8ccccc8c7c6c5c43)cc2c1
hc_c46h26_0pent_26291 c1ccc2cc3cc4cc5c(ccc6c7cc8cc9c(ccc%10ccccc%109)cc8cc7c7ccccc7c56)cc4cc3cc2c1
hc_c42h24_0pent_5061 c1ccc2c(c1)ccc1cc3cc4c(ccc5cc6ccc7c(ccc8c9ccccc9ccc87)c6cc54)cc3cc12
hc_c46h26_0pent_21910 c1ccc2cc3c(ccc4cc5cc6ccc7ccc8c(ccc9ccc%10c%11ccccc%11ccc%10c98)c7c6cc5cc43)cc2c1
hc_c42h24_0pent_3214 c1ccc2cc3c(ccc4c3ccc3c4ccc4c3ccc3c5c6ccccc6ccc5c5ccccc5c43)cc2c1
hc_c46h26_0pent_4709 c1ccc2c(c1)ccc1c3cc4ccc5ccc6c(ccc7c8ccccc8c8c9ccccc9ccc8c76)c5c4cc3ccc21
hc_c46h26_0pent_7043 c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1cc2c(ccc4ccc5cc6c(ccc7ccccc76)cc5c42)cc31
hc_c46h26_0pent_5779 c1ccc2cc3c(cc2c1)c1ccccc1c1c2c4ccccc4ccc2c2c4ccc5ccc6ccccc6c5c4ccc2c31
hc_c46h26_0pent_24773 c1ccc2c(c1)ccc1cc3cc4cc5ccc6ccc7ccc8ccc9c%10ccccc%10ccc9c8c7c6c5cc4cc3cc12
hc_c46h26_0pent_19313 c1ccc2cc3cc4c(cc3cc2c1)c1c2ccccc2ccc1c1ccc2c3ccc5ccc6ccccc6c5c3ccc2c14
hc_c46h26_0pent_23108 c1ccc2c(c1)ccc1cc3cc4ccc5c(c4cc3cc12)c1ccccc1c1c2c3ccccc3ccc2c2ccccc2c51
