molecule_id,smiles,annulation,n_branches,longest_A,longest_L,longest_L_degeneracy,second_longest_L,ratio_L,n_LAL,n_rings,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_5611,c1ccc2cc3cc4c(ccc5c6ccccc6c6c7c8ccccc8ccc7c7ccccc7c6c45)cc3cc2c1,llaa()a()a,2,4,2,1,0,0.3333333333333333,0,10,-4.941,-2.292,2.649,0.123,-43887.025,-43881.021,-43888.287,-1.262,6.005
hc_c38h22_0pent_982,c1ccc2c(c1)ccc1cc3c(cc12)c1ccccc1c1c2cc4c(ccc5ccccc54)cc2ccc31,alaa()la,1,2,1,2,0,0.3333333333333333,0,9,-5.295,-1.983,3.312,0.163,-39713.078,-39706.732,-39714.049,-0.971,6.346
hc_c42h24_0pent_5734,c1ccc2cc3cc4c(ccc5c4c4ccccc4c4c6c7ccccc7ccc6c6ccccc6c54)cc3cc2c1,llaa()a()a,2,4,2,1,0,0.3333333333333333,0,10,-4.971,-2.318,2.653,0.49,-43886.814,-43880.785,-43888.117,-1.303,6.028
hc_c42h24_0pent_1604,c1ccc2cc3c(cc2c1)c1c2ccccc2ccc1c1c2ccccc2c2c4ccc5ccccc5c4ccc2c31,aaa()a(l)a,2,4,1,1,0,0.1666666666666666,0,10,-5.198,-2.046,3.152,0.046,-43887.569,-43881.368,-43888.655,-1.085,6.201
hc_c42h24_0pent_5264,c1ccc2cc3c(cc2c1)c1ccccc1c1cc2cc4c(cc2cc13)c1ccccc1c1c2ccccc2ccc41,aa()lla()l,2,2,2,1,1,0.5,0,10,-5.286,-2.093,3.193,0.11,-43888.174,-43881.875,-43889.286,-1.111,6.3
hc_c42h24_0pent_4921,c1ccc2c(c1)ccc1c2ccc2c1ccc1ccc3cc4cc5ccc6ccc7ccccc7c6c5cc4cc3c12,aallaaaa,0,4,2,1,0,0.25,0,10,-5.052,-2.28,2.772,0.188,-43887.942,-43881.847,-43889.207,-1.266,6.095
hc_c30h18_0pent_11,c1ccc2c(c1)ccc1c2ccc2ccc3ccc4c5ccccc5ccc4c3c21,aaaaa,0,5,0,0,0,0.0,0,7,-5.619,-1.639,3.979,0.093,-31362.345,-31355.568,-31362.879,-0.534,6.777
hc_c38h22_0pent_480,c1ccc2c(c1)ccc1cc3c(cc12)c1cc2c(ccc4ccccc42)cc1c1c2ccccc2ccc31,ala(a)la,1,2,1,2,0,0.3333333333333333,0,9,-5.447,-1.833,3.614,0.102,-39713.122,-39706.632,-39713.954,-0.832,6.49
hc_c42h24_0pent_115,c1ccc2c(c1)c1ccccc1c1c2ccc2ccc3ccc4ccc5c6ccccc6c6ccccc6c5c4c3c21,a()aaaaa(),2,6,0,0,0,0.0,0,10,-5.444,-1.753,3.691,0.037,-43887.172,-43880.666,-43887.818,-0.646,6.505
hc_c42h24_0pent_6381,c1ccc2cc3c(cc2c1)c1ccccc1c1cc2cc4cc5c(ccc6c7ccccc7ccc56)cc4cc2cc13,la()lllaa,1,2,3,1,1,0.5714285714285714,0,10,-4.944,-2.459,2.485,0.08,-43888.239,-43882.276,-43889.705,-1.466,5.964
hc_c42h24_0pent_784,c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccccc2c2ccc4ccc5c6ccccc6ccc5c4c2c31,aaaa()a()l,2,5,1,1,0,0.1666666666666666,0,10,-5.229,-1.891,3.338,0.214,-43887.528,-43881.261,-43888.421,-0.893,6.267
hc_c42h24_0pent_2469,c1ccc2cc3c(ccc4cc5c(cc43)c3cc4c(ccc6ccccc64)cc3c3c4ccccc4ccc53)cc2c1,ala(a)lal,1,2,1,3,0,0.4285714285714285,1,10,-5.364,-1.957,3.407,0.107,-43888.313,-43881.949,-43889.299,-0.986,6.364
hc_c38h22_0pent_436,c1ccc2c(c1)ccc1cc3c(cc12)c1ccccc1c1ccc2c4ccc5ccccc5c4ccc2c13,aaaa()la,1,4,1,1,0,0.1666666666666666,0,9,-5.442,-1.804,3.639,0.087,-39713.132,-39706.652,-39713.927,-0.795,6.48
hc_c42h24_0pent_3753,c1ccc2cc3c(cc2c1)c1ccc2cc4ccc5ccccc5c4cc2c1c1ccc2ccc4ccccc4c2c31,aaa(l)ala,1,3,1,2,0,0.2857142857142857,0,10,-5.169,-2.09,3.079,0.14,-43887.641,-43881.462,-43888.756,-1.116,6.179
hc_c42h24_0pent_4093,c1ccc2cc3c(ccc4ccc5c6cc7ccc8ccc9ccc%10ccccc%10c9c8c7cc6ccc5c43)cc2c1,laaalaaa,0,3,1,2,0,0.25,0,10,-5.309,-1.958,3.351,0.126,-43887.741,-43881.427,-43888.734,-0.993,6.314
hc_c42h24_0pent_5508,c1ccc2cc3c(ccc4cc5cc6ccc7ccc8cc9c(ccc%10ccccc%109)cc8c7c6cc5cc43)cc2c1,alaallal,0,2,2,1,1,0.5,1,10,-5.091,-2.268,2.823,0.216,-43888.163,-43882.057,-43889.442,-1.279,6.107
hc_c42h24_0pent_2569,c1ccc2cc3c(ccc4cc5ccc6ccc7c8ccccc8c8cc9ccccc9cc8c7c6c5cc43)cc2c1,lalaaa()l,1,3,1,3,0,0.4285714285714285,1,10,-5.336,-1.942,3.394,0.324,-43887.847,-43881.473,-43888.775,-0.928,6.375
hc_c38h22_0pent_142,c1ccc2c(c1)ccc1ccc3c(ccc4c3c3ccccc3c3c5ccccc5c5ccccc5c43)c12,a()a()aaa,2,5,0,0,0,0.0,0,9,-5.383,-1.811,3.572,0.135,-39712.394,-39705.982,-39713.215,-0.821,6.412
hc_c38h22_0pent_604,c1ccc2c(c1)ccc1cc3c(ccc4cc5ccc6ccc7ccc8ccccc8c7c6c5cc43)cc12,aaalala,0,3,1,2,0,0.2857142857142857,1,9,-5.362,-1.876,3.486,0.346,-39712.856,-39706.423,-39713.683,-0.828,6.432
hc_c42h24_0pent_5632,c1ccc2cc3cc4c(ccc5c4ccc4c5ccc5ccc6c7cc8ccccc8cc7ccc6c54)cc3cc2c1,llaaaaal,0,5,2,1,1,0.375,0,10,-5.072,-2.277,2.794,0.059,-43887.975,-43881.847,-43889.226,-1.251,6.127
hc_c42h24_0pent_5199,c1ccc2c(c1)ccc1cc3cc4c(cc3cc12)c1ccccc1c1cc2c(ccc3c5ccccc5ccc23)cc41,alla()laa,1,2,2,1,1,0.4285714285714285,0,10,-5.29,-2.098,3.192,0.056,-43888.565,-43882.231,-43889.658,-1.093,6.334
hc_c42h24_0pent_142,c1ccc2c(c1)ccc1c2ccc2c1ccc1ccc3ccc4c5ccc6ccc7ccccc7c6c5ccc4c3c12,aaaaaaaa,0,8,0,0,0,0.0,0,10,-5.523,-1.734,3.789,0.083,-43887.884,-43881.353,-43888.654,-0.769,6.531
hc_c42h24_0pent_5029,c1ccc2cc3cc4c(cc3cc2c1)c1cc2c(ccc3cc5ccccc5cc32)cc1c1c2ccccc2ccc41,lla(a)lal,1,2,2,1,1,0.5714285714285714,1,10,-5.11,-2.254,2.856,0.129,-43888.039,-43881.923,-43889.304,-1.265,6.116
hc_c42h24_0pent_831,c1ccc2cc3c(ccc4c5ccccc5c5c6ccccc6c6cc7ccc8ccccc8c7cc6c5c34)cc2c1,laa()a()la,2,3,1,2,0,0.3333333333333333,0,10,-5.249,-1.97,3.279,0.277,-43887.708,-43881.474,-43888.609,-0.902,6.233
hc_c42h24_0pent_4195,c1ccc2cc3c(ccc4c3ccc3c5ccc6cc7ccccc7cc6c5c5cc6ccccc6cc5c43)cc2c1,laa(l)aal,1,2,1,3,0,0.4285714285714285,0,10,-5.144,-2.154,2.989,0.106,-43887.825,-43881.689,-43889.023,-1.197,6.136
hc_c30h18_0pent_112,c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1ccc2ccccc2c14,lla()a,1,2,2,1,0,0.5,0,7,-5.094,-2.191,2.903,0.101,-31362.261,-31356.0,-31363.317,-1.056,6.261
